sqe-cli 0.36.0 connected to http://localhost:50051 (flight)
+------+-------------------------------------------------------------+-------------+--------------------+--------------+----------------+-------------+---------------+--------------+
| step | operation                                                   | output_rows | elapsed_ms         | output_bytes | output_batches | spill_count | spilled_bytes | spilled_rows |
| 127  | AggregateExec                                               | 8           | 0.070026           | 64           | 8              |             |               |              |
| 128  | CoalescePartitionsExec                                      | 8           | 0.006262           | 64           | 8              |             |               |              |
| 129  | AggregateExec                                               | 1           | 0.005201           | 8            | 1              |             |               |              |
| 130  | ProjectionExec                                              | 1           | 0.000924           | 8            | 1              |             |               |              |
| 131  | IcebergScanExec                                             | 120         | 4.688476           | 0            | 0              |             |               |              |
| 132  | RepartitionExec                                             | 120         | 0.016314           | 34404        | 1              | 0           | 0             | 0            |
| 133  | FilterExec                                                  | 0           | 0.012418           | 0            | 0              |             |               |              |
| 134  | CoalescePartitionsExec                                      | 0           | 0.006661           | 0            | 0              |             |               |              |
| 135  | IcebergScanExec                                             | 86400       | 2.149846           | 0            | 0              |             |               |              |
| 136  | RepartitionExec                                             | 86400       | 0.010332           | 1081344      | 11             | 0           | 0             | 0            |
| 137  | FilterExec                                                  | 1800        | 0.20008            | 32768        | 1              |             |               |              |
| 138  | CoalescePartitionsExec                                      | 1800        | 0.006153           | 32768        | 1              |             |               |              |
| 139  | IcebergScanExec                                             | 7200        | 0.925049           | 0            | 0              |             |               |              |
| 140  | RepartitionExec                                             | 7200        | 0.004388           | 57600        | 1              | 0           | 0             | 0            |
| 141  | FilterExec                                                  | 2160        | 0.046188           | 32768        | 1              |             |               |              |
| 142  | CoalescePartitionsExec                                      | 2160        | 0.00593            | 32768        | 1              |             |               |              |
| 143  | IcebergScanExec                                             | 173003      | 20.037677          | 0            | 0              |             |               |              |
| 144  | RepartitionExec                                             | 173003      | 7.207428           | 2359296      | 24             | 0           | 0             | 0            |
| 145  | HashJoinExec                                                | 173003      | 3.554614           | 1452800      | 24             |             |               |              |
| 146  | HashJoinExec                                                | 173003      | 2.051926           | 726400       | 24             |             |               |              |
| 147  | HashJoinExec                                                | 0           | 0.05842            | 0            | 0              |             |               |              |
| 148  | AggregateExec                                               | 8           | 0.092128           | 64           | 8              |             |               |              |
| 149  | CoalescePartitionsExec                                      | 8           | 0.022145           | 64           | 8              |             |               |              |
| 150  | AggregateExec                                               | 1           | 0.005442           | 8            | 1              |             |               |              |
| 151  | ProjectionExec                                              | 1           | 0.000886           | 8            | 1              |             |               |              |
| 152  | IcebergScanExec                                             | 120         | 0.789905           | 0            | 0              |             |               |              |
| 153  | RepartitionExec                                             | 120         | 0.024933           | 34404        | 1              | 0           | 0             | 0            |
| 154  | FilterExec                                                  | 0           | 0.02808            | 0            | 0              |             |               |              |
| 155  | CoalescePartitionsExec                                      | 0           | 0.015948           | 0            | 0              |             |               |              |
| 156  | IcebergScanExec                                             | 86400       | 2.723715           | 0            | 0              |             |               |              |
| 157  | RepartitionExec                                             | 86400       | 0.006923           | 1081344      | 11             | 0           | 0             | 0            |
| 158  | FilterExec                                                  | 1800        | 0.183458           | 65536        | 2              |             |               |              |
| 159  | CoalescePartitionsExec                                      | 1800        | 0.010927           | 65536        | 2              |             |               |              |
| 160  | IcebergScanExec                                             | 7200        | 0.794889           | 0            | 0              |             |               |              |
| 161  | RepartitionExec                                             | 7200        | 0.00413            | 57600        | 1              | 0           | 0             | 0            |
| 162  | FilterExec                                                  | 2160        | 0.083353           | 32768        | 1              |             |               |              |
| 163  | CoalescePartitionsExec                                      | 2160        | 0.013277           | 32768        | 1              |             |               |              |
| 164  | IcebergScanExec                                             | 173191      | 21.847132          | 0            | 0              |             |               |              |
| 165  | RepartitionExec                                             | 173191      | 19.559412          | 2359296      | 24             | 0           | 0             | 0            |
